Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 3.606E+03 3.605E+03 
1.500E-03 1.191E+03 1.190E+03 
2.000E-03 5.280E+02 5.269E+02 
3.000E-03 1.625E+02 1.616E+02 
3.203E-03 1.339E+02 1.331E+02 
3.203E-03 1.485E+02 1.477E+02 
4.000E-03 7.787E+01 7.721E+01 
5.000E-03 4.027E+01 3.975E+01 
6.000E-03 2.341E+01 2.299E+01 
8.000E-03 9.919E+00 9.624E+00 
1.000E-02 5.120E+00 4.898E+00 
1.500E-02 1.614E+00 1.482E+00 
2.000E-02 7.780E-01 6.905E-01 
3.000E-02 3.538E-01 3.076E-01 
4.000E-02 2.485E-01 2.202E-01 
5.000E-02 2.080E-01 1.889E-01 
6.000E-02 1.875E-01 1.738E-01 
8.000E-02 1.662E-01 1.582E-01 
1.000E-01 1.541E-01 1.489E-01 
1.500E-01 1.356E-01 1.332E-01 
2.000E-01 1.233E-01 1.220E-01 
3.000E-01 1.067E-01 1.061E-01 
4.000E-01 9.549E-02 9.514E-02 
4.971E-01 8.733E-02 8.711E-02 
5.000E-01 8.712E-02 8.690E-02 
5.630E-01 8.281E-02 8.264E-02 
5.690E-01 8.243E-02 8.226E-02 
6.000E-01 8.055E-02 8.040E-02 
6.006E-01 8.052E-02 8.037E-02 
6.040E-01 8.032E-02 8.017E-02 
6.103E-01 7.996E-02 7.981E-02 
6.210E-01 7.935E-02 7.921E-02 
6.350E-01 7.857E-02 7.844E-02 
6.620E-01 7.713E-02 7.701E-02 
7.230E-01 7.413E-02 7.402E-02 
7.240E-01 7.408E-02 7.398E-02 
7.560E-01 7.263E-02 7.253E-02 
7.570E-01 7.258E-02 7.249E-02 
7.650E-01 7.223E-02 7.214E-02 
7.950E-01 7.095E-02 7.086E-02 
8.000E-01 7.074E-02 7.065E-02 
8.010E-01 7.070E-02 7.061E-02 
8.730E-01 6.786E-02 6.778E-02 
9.960E-01 6.370E-02 6.365E-02 
1.000E+00 6.358E-02 6.353E-02 
1.004E+00 6.346E-02 6.341E-02 
1.022E+00 6.293E-02 6.287E-02 
1.038E+00 6.246E-02 6.241E-02 
1.050E+00 6.211E-02 6.206E-02 
1.167E+00 5.892E-02 5.888E-02 
1.205E+00 5.796E-02 5.792E-02 
1.246E+00 5.697E-02 5.693E-02 
1.250E+00 5.687E-02 5.684E-02 
1.274E+00 5.632E-02 5.628E-02 
1.365E+00 5.434E-02 5.431E-02 
1.494E+00 5.186E-02 5.183E-02 
1.500E+00 5.175E-02 5.172E-02 
1.562E+00 5.068E-02 5.065E-02 
1.596E+00 5.011E-02 5.009E-02 
1.766E+00 4.754E-02 4.752E-02 
1.797E+00 4.711E-02 4.709E-02 
1.988E+00 4.462E-02 4.461E-02 
2.000E+00 4.447E-02 4.446E-02 
2.044E+00 4.394E-02 4.393E-02 
2.112E+00 4.316E-02 4.315E-02 
2.185E+00 4.237E-02 4.236E-02 
3.000E+00 3.581E-02 3.580E-02 
4.000E+00 3.079E-02 3.079E-02 
5.000E+00 2.751E-02 2.751E-02 
6.000E+00 2.522E-02 2.522E-02 
7.000E+00 2.354E-02 2.354E-02 
8.000E+00 2.225E-02 2.225E-02 
9.000E+00 2.125E-02 2.125E-02 
1.000E+01 2.045E-02 2.045E-02 
1.100E+01 1.979E-02 1.979E-02 
1.200E+01 1.925E-02 1.925E-02 
1.300E+01 1.880E-02 1.880E-02 
1.400E+01 1.842E-02 1.842E-02 
1.500E+01 1.810E-02 1.810E-02 
1.600E+01 1.783E-02 1.783E-02 
1.800E+01 1.739E-02 1.739E-02 
2.000E+01 1.706E-02 1.706E-02 
2.200E+01 1.681E-02 1.681E-02 
2.400E+01 1.662E-02 1.662E-02 
2.600E+01 1.648E-02 1.648E-02 
2.800E+01 1.637E-02 1.637E-02 
3.000E+01 1.628E-02 1.628E-02 
4.000E+01 1.611E-02 1.611E-02 
5.000E+01 1.614E-02 1.614E-02 
6.000E+01 1.625E-02 1.625E-02 
8.000E+01 1.654E-02 1.654E-02 
1.000E+02 1.683E-02 1.683E-02 
1.500E+02 1.746E-02 1.746E-02 
2.000E+02 1.793E-02 1.793E-02 
3.000E+02 1.855E-02 1.855E-02 
4.000E+02 1.895E-02 1.895E-02 
5.000E+02 1.923E-02 1.923E-02 
6.000E+02 1.943E-02 1.943E-02 
8.000E+02 1.971E-02 1.971E-02 
1.000E+03 1.991E-02 1.991E-02 
1.500E+03 2.019E-02 2.019E-02 
2.000E+03 2.035E-02 2.035E-02 
3.000E+03 2.053E-02 2.053E-02 
4.000E+03 2.063E-02 2.063E-02 
5.000E+03 2.069E-02 2.069E-02 
6.000E+03 2.073E-02 2.073E-02 
8.000E+03 2.079E-02 2.079E-02 
1.000E+04 2.083E-02 2.083E-02 
1.500E+04 2.088E-02 2.088E-02 
2.000E+04 2.091E-02 2.091E-02 
3.000E+04 2.094E-02 2.094E-02 
4.000E+04 2.096E-02 2.096E-02 
5.000E+04 2.097E-02 2.097E-02 
6.000E+04 2.097E-02 2.097E-02 
8.000E+04 2.098E-02 2.098E-02 
1.000E+05 2.099E-02 2.099E-02 
