Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 1.185E+03 1.183E+03 
1.500E-03 4.023E+02 4.002E+02 
1.560E-03 3.621E+02 3.600E+02 
1.560E-03 3.957E+03 3.955E+03 
2.000E-03 2.263E+03 2.261E+03 
3.000E-03 7.881E+02 7.866E+02 
4.000E-03 3.605E+02 3.592E+02 
5.000E-03 1.934E+02 1.923E+02 
6.000E-03 1.153E+02 1.143E+02 
8.000E-03 5.032E+01 4.960E+01 
1.000E-02 2.621E+01 2.566E+01 
1.500E-02 7.955E+00 7.641E+00 
2.000E-02 3.442E+00 3.237E+00 
3.000E-02 1.128E+00 1.019E+00 
4.000E-02 5.684E-01 4.998E-01 
5.000E-02 3.681E-01 3.214E-01 
6.000E-02 2.778E-01 2.440E-01 
8.000E-02 2.018E-01 1.817E-01 
1.000E-01 1.704E-01 1.572E-01 
1.500E-01 1.378E-01 1.317E-01 
2.000E-01 1.223E-01 1.188E-01 
3.000E-01 1.042E-01 1.026E-01 
4.000E-01 9.276E-02 9.187E-02 
4.971E-01 8.466E-02 8.408E-02 
5.000E-01 8.445E-02 8.388E-02 
5.630E-01 8.023E-02 7.978E-02 
5.690E-01 7.986E-02 7.942E-02 
6.000E-01 7.802E-02 7.762E-02 
6.006E-01 7.799E-02 7.759E-02 
6.040E-01 7.779E-02 7.740E-02 
6.103E-01 7.743E-02 7.705E-02 
6.210E-01 7.684E-02 7.646E-02 
6.350E-01 7.607E-02 7.572E-02 
6.620E-01 7.466E-02 7.433E-02 
7.230E-01 7.171E-02 7.144E-02 
7.240E-01 7.166E-02 7.139E-02 
7.560E-01 7.024E-02 6.999E-02 
7.570E-01 7.020E-02 6.995E-02 
7.650E-01 6.986E-02 6.961E-02 
7.950E-01 6.861E-02 6.838E-02 
8.000E-01 6.841E-02 6.818E-02 
8.010E-01 6.837E-02 6.814E-02 
8.730E-01 6.564E-02 6.545E-02 
9.960E-01 6.158E-02 6.144E-02 
1.000E+00 6.146E-02 6.132E-02 
1.004E+00 6.134E-02 6.120E-02 
1.022E+00 6.080E-02 6.067E-02 
1.038E+00 6.034E-02 6.021E-02 
1.050E+00 6.000E-02 5.987E-02 
1.167E+00 5.690E-02 5.680E-02 
1.205E+00 5.599E-02 5.589E-02 
1.246E+00 5.505E-02 5.495E-02 
1.250E+00 5.496E-02 5.486E-02 
1.274E+00 5.443E-02 5.434E-02 
1.365E+00 5.255E-02 5.247E-02 
1.494E+00 5.017E-02 5.010E-02 
1.500E+00 5.006E-02 5.000E-02 
1.562E+00 4.903E-02 4.897E-02 
1.596E+00 4.849E-02 4.843E-02 
1.766E+00 4.603E-02 4.599E-02 
1.797E+00 4.563E-02 4.558E-02 
1.988E+00 4.337E-02 4.333E-02 
2.000E+00 4.324E-02 4.320E-02 
2.044E+00 4.277E-02 4.274E-02 
2.112E+00 4.209E-02 4.205E-02 
2.185E+00 4.138E-02 4.135E-02 
3.000E+00 3.541E-02 3.539E-02 
4.000E+00 3.106E-02 3.105E-02 
5.000E+00 2.836E-02 2.836E-02 
6.000E+00 2.655E-02 2.655E-02 
7.000E+00 2.529E-02 2.528E-02 
8.000E+00 2.437E-02 2.437E-02 
9.000E+00 2.369E-02 2.369E-02 
1.000E+01 2.318E-02 2.318E-02 
1.100E+01 2.279E-02 2.279E-02 
1.200E+01 2.249E-02 2.249E-02 
1.300E+01 2.226E-02 2.225E-02 
1.400E+01 2.208E-02 2.208E-02 
1.500E+01 2.195E-02 2.195E-02 
1.600E+01 2.185E-02 2.184E-02 
1.800E+01 2.173E-02 2.173E-02 
2.000E+01 2.168E-02 2.168E-02 
2.200E+01 2.168E-02 2.168E-02 
2.400E+01 2.172E-02 2.172E-02 
2.600E+01 2.179E-02 2.179E-02 
2.800E+01 2.187E-02 2.187E-02 
3.000E+01 2.196E-02 2.196E-02 
4.000E+01 2.251E-02 2.251E-02 
5.000E+01 2.306E-02 2.306E-02 
6.000E+01 2.358E-02 2.358E-02 
8.000E+01 2.447E-02 2.447E-02 
1.000E+02 2.517E-02 2.517E-02 
1.500E+02 2.641E-02 2.641E-02 
2.000E+02 2.724E-02 2.724E-02 
3.000E+02 2.825E-02 2.825E-02 
4.000E+02 2.888E-02 2.888E-02 
5.000E+02 2.931E-02 2.931E-02 
6.000E+02 2.961E-02 2.961E-02 
8.000E+02 3.004E-02 3.004E-02 
1.000E+03 3.032E-02 3.032E-02 
1.500E+03 3.074E-02 3.074E-02 
2.000E+03 3.098E-02 3.098E-02 
3.000E+03 3.123E-02 3.123E-02 
4.000E+03 3.139E-02 3.139E-02 
5.000E+03 3.148E-02 3.148E-02 
6.000E+03 3.154E-02 3.154E-02 
8.000E+03 3.161E-02 3.161E-02 
1.000E+04 3.168E-02 3.168E-02 
1.500E+04 3.175E-02 3.175E-02 
2.000E+04 3.179E-02 3.179E-02 
3.000E+04 3.182E-02 3.182E-02 
4.000E+04 3.184E-02 3.184E-02 
5.000E+04 3.186E-02 3.186E-02 
6.000E+04 3.186E-02 3.186E-02 
8.000E+04 3.189E-02 3.189E-02 
1.000E+05 3.189E-02 3.189E-02 
