Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 1.057E+04 1.057E+04 
1.047E-03 9.333E+03 9.328E+03 
1.096E-03 8.245E+03 8.240E+03 
1.096E-03 9.345E+03 9.340E+03 
1.500E-03 4.418E+03 4.413E+03 
2.000E-03 2.154E+03 2.149E+03 
3.000E-03 7.488E+02 7.449E+02 
4.000E-03 3.473E+02 3.439E+02 
5.000E-03 1.899E+02 1.870E+02 
6.000E-03 1.156E+02 1.131E+02 
8.000E-03 5.255E+01 5.068E+01 
8.979E-03 3.829E+01 3.664E+01 
8.979E-03 2.783E+02 2.767E+02 
1.000E-02 2.160E+02 2.145E+02 
1.500E-02 7.405E+01 7.317E+01 
2.000E-02 3.380E+01 3.319E+01 
3.000E-02 1.091E+01 1.058E+01 
4.000E-02 4.862E+00 4.649E+00 
5.000E-02 2.613E+00 2.466E+00 
6.000E-02 1.593E+00 1.485E+00 
8.000E-02 7.630E-01 6.970E-01 
1.000E-01 4.585E-01 4.140E-01 
1.500E-01 2.217E-01 2.006E-01 
2.000E-01 1.559E-01 1.437E-01 
3.000E-01 1.119E-01 1.063E-01 
4.000E-01 9.413E-02 9.092E-02 
4.971E-01 8.388E-02 8.178E-02 
5.000E-01 8.363E-02 8.156E-02 
5.630E-01 7.873E-02 7.710E-02 
5.690E-01 7.831E-02 7.671E-02 
6.000E-01 7.625E-02 7.481E-02 
6.006E-01 7.621E-02 7.477E-02 
6.040E-01 7.600E-02 7.458E-02 
6.103E-01 7.560E-02 7.421E-02 
6.210E-01 7.495E-02 7.360E-02 
6.350E-01 7.412E-02 7.283E-02 
6.620E-01 7.259E-02 7.140E-02 
7.230E-01 6.947E-02 6.847E-02 
7.240E-01 6.942E-02 6.843E-02 
7.560E-01 6.794E-02 6.703E-02 
7.570E-01 6.790E-02 6.699E-02 
7.650E-01 6.754E-02 6.665E-02 
7.950E-01 6.626E-02 6.544E-02 
8.000E-01 6.606E-02 6.524E-02 
8.010E-01 6.601E-02 6.520E-02 
8.730E-01 6.324E-02 6.255E-02 
9.960E-01 5.913E-02 5.860E-02 
1.000E+00 5.901E-02 5.848E-02 
1.004E+00 5.888E-02 5.837E-02 
1.022E+00 5.834E-02 5.784E-02 
1.038E+00 5.787E-02 5.739E-02 
1.050E+00 5.753E-02 5.706E-02 
1.167E+00 5.448E-02 5.410E-02 
1.205E+00 5.360E-02 5.324E-02 
1.246E+00 5.270E-02 5.236E-02 
1.250E+00 5.261E-02 5.228E-02 
1.274E+00 5.211E-02 5.179E-02 
1.365E+00 5.033E-02 5.005E-02 
1.494E+00 4.812E-02 4.789E-02 
1.500E+00 4.803E-02 4.780E-02 
1.562E+00 4.709E-02 4.688E-02 
1.596E+00 4.661E-02 4.640E-02 
1.766E+00 4.444E-02 4.427E-02 
1.797E+00 4.409E-02 4.393E-02 
1.988E+00 4.216E-02 4.202E-02 
2.000E+00 4.205E-02 4.191E-02 
2.044E+00 4.166E-02 4.153E-02 
2.112E+00 4.108E-02 4.096E-02 
2.185E+00 4.051E-02 4.040E-02 
3.000E+00 3.599E-02 3.593E-02 
4.000E+00 3.318E-02 3.315E-02 
5.000E+00 3.177E-02 3.175E-02 
6.000E+00 3.108E-02 3.106E-02 
7.000E+00 3.080E-02 3.078E-02 
8.000E+00 3.074E-02 3.073E-02 
9.000E+00 3.084E-02 3.083E-02 
1.000E+01 3.103E-02 3.102E-02 
1.100E+01 3.127E-02 3.126E-02 
1.200E+01 3.154E-02 3.153E-02 
1.300E+01 3.183E-02 3.182E-02 
1.400E+01 3.215E-02 3.215E-02 
1.500E+01 3.247E-02 3.247E-02 
1.600E+01 3.279E-02 3.279E-02 
1.800E+01 3.344E-02 3.344E-02 
2.000E+01 3.408E-02 3.408E-02 
2.200E+01 3.470E-02 3.470E-02 
2.400E+01 3.530E-02 3.530E-02 
2.600E+01 3.588E-02 3.587E-02 
2.800E+01 3.642E-02 3.642E-02 
3.000E+01 3.694E-02 3.694E-02 
4.000E+01 3.920E-02 3.920E-02 
5.000E+01 4.103E-02 4.103E-02 
6.000E+01 4.253E-02 4.253E-02 
8.000E+01 4.486E-02 4.486E-02 
1.000E+02 4.659E-02 4.659E-02 
1.500E+02 4.943E-02 4.943E-02 
2.000E+02 5.118E-02 5.118E-02 
3.000E+02 5.326E-02 5.326E-02 
4.000E+02 5.448E-02 5.448E-02 
5.000E+02 5.529E-02 5.529E-02 
6.000E+02 5.587E-02 5.587E-02 
8.000E+02 5.665E-02 5.665E-02 
1.000E+03 5.717E-02 5.717E-02 
1.500E+03 5.790E-02 5.790E-02 
2.000E+03 5.831E-02 5.831E-02 
3.000E+03 5.875E-02 5.875E-02 
4.000E+03 5.899E-02 5.899E-02 
5.000E+03 5.913E-02 5.913E-02 
6.000E+03 5.924E-02 5.924E-02 
8.000E+03 5.938E-02 5.938E-02 
1.000E+04 5.947E-02 5.947E-02 
1.500E+04 5.959E-02 5.959E-02 
2.000E+04 5.965E-02 5.965E-02 
3.000E+04 5.973E-02 5.973E-02 
4.000E+04 5.976E-02 5.976E-02 
5.000E+04 5.978E-02 5.978E-02 
6.000E+04 5.979E-02 5.979E-02 
8.000E+04 5.982E-02 5.982E-02 
1.000E+05 5.983E-02 5.983E-02 
