Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 4.077E+03 4.076E+03 
1.500E-03 1.376E+03 1.374E+03 
2.000E-03 6.173E+02 6.162E+02 
3.000E-03 1.928E+02 1.919E+02 
4.000E-03 8.277E+01 8.207E+01 
5.000E-03 4.259E+01 4.203E+01 
6.000E-03 2.464E+01 2.419E+01 
8.000E-03 1.037E+01 1.006E+01 
1.000E-02 5.330E+00 5.099E+00 
1.500E-02 1.672E+00 1.539E+00 
2.000E-02 8.098E-01 7.213E-01 
3.000E-02 3.756E-01 3.286E-01 
4.000E-02 2.683E-01 2.395E-01 
5.000E-02 2.269E-01 2.076E-01 
6.000E-02 2.059E-01 1.920E-01 
8.000E-02 1.837E-01 1.755E-01 
1.000E-01 1.707E-01 1.654E-01 
1.500E-01 1.505E-01 1.481E-01 
2.000E-01 1.370E-01 1.356E-01 
3.000E-01 1.186E-01 1.180E-01 
4.000E-01 1.061E-01 1.058E-01 
4.971E-01 9.711E-02 9.688E-02 
5.000E-01 9.687E-02 9.665E-02 
5.630E-01 9.208E-02 9.190E-02 
5.690E-01 9.166E-02 9.149E-02 
6.000E-01 8.956E-02 8.940E-02 
6.006E-01 8.952E-02 8.937E-02 
6.040E-01 8.930E-02 8.915E-02 
6.103E-01 8.889E-02 8.874E-02 
6.210E-01 8.821E-02 8.807E-02 
6.350E-01 8.735E-02 8.721E-02 
6.620E-01 8.574E-02 8.562E-02 
7.230E-01 8.240E-02 8.230E-02 
7.240E-01 8.235E-02 8.224E-02 
7.560E-01 8.074E-02 8.064E-02 
7.570E-01 8.069E-02 8.059E-02 
7.650E-01 8.030E-02 8.020E-02 
7.950E-01 7.889E-02 7.880E-02 
8.000E-01 7.866E-02 7.857E-02 
8.010E-01 7.861E-02 7.852E-02 
8.730E-01 7.550E-02 7.542E-02 
9.960E-01 7.086E-02 7.080E-02 
1.000E+00 7.072E-02 7.066E-02 
1.004E+00 7.058E-02 7.053E-02 
1.022E+00 6.997E-02 6.991E-02 
1.038E+00 6.944E-02 6.938E-02 
1.050E+00 6.904E-02 6.899E-02 
1.167E+00 6.549E-02 6.544E-02 
1.205E+00 6.443E-02 6.439E-02 
1.246E+00 6.334E-02 6.330E-02 
1.250E+00 6.323E-02 6.320E-02 
1.274E+00 6.262E-02 6.259E-02 
1.365E+00 6.043E-02 6.040E-02 
1.494E+00 5.766E-02 5.764E-02 
1.500E+00 5.754E-02 5.752E-02 
1.562E+00 5.634E-02 5.632E-02 
1.596E+00 5.572E-02 5.570E-02 
1.766E+00 5.285E-02 5.283E-02 
1.797E+00 5.236E-02 5.234E-02 
1.988E+00 4.958E-02 4.957E-02 
2.000E+00 4.942E-02 4.940E-02 
2.044E+00 4.883E-02 4.881E-02 
2.112E+00 4.795E-02 4.794E-02 
2.185E+00 4.707E-02 4.706E-02 
3.000E+00 3.969E-02 3.968E-02 
4.000E+00 3.403E-02 3.402E-02 
5.000E+00 3.031E-02 3.031E-02 
6.000E+00 2.770E-02 2.770E-02 
7.000E+00 2.577E-02 2.577E-02 
8.000E+00 2.429E-02 2.429E-02 
9.000E+00 2.313E-02 2.313E-02 
1.000E+01 2.219E-02 2.219E-02 
1.100E+01 2.142E-02 2.142E-02 
1.200E+01 2.079E-02 2.079E-02 
1.300E+01 2.025E-02 2.025E-02 
1.400E+01 1.980E-02 1.980E-02 
1.500E+01 1.941E-02 1.941E-02 
1.600E+01 1.908E-02 1.908E-02 
1.800E+01 1.854E-02 1.854E-02 
2.000E+01 1.813E-02 1.813E-02 
2.200E+01 1.782E-02 1.782E-02 
2.400E+01 1.757E-02 1.757E-02 
2.600E+01 1.738E-02 1.738E-02 
2.800E+01 1.722E-02 1.722E-02 
3.000E+01 1.710E-02 1.710E-02 
4.000E+01 1.679E-02 1.679E-02 
5.000E+01 1.674E-02 1.674E-02 
6.000E+01 1.679E-02 1.679E-02 
8.000E+01 1.702E-02 1.702E-02 
1.000E+02 1.727E-02 1.727E-02 
1.500E+02 1.785E-02 1.785E-02 
2.000E+02 1.829E-02 1.829E-02 
3.000E+02 1.888E-02 1.888E-02 
4.000E+02 1.927E-02 1.927E-02 
5.000E+02 1.954E-02 1.954E-02 
6.000E+02 1.974E-02 1.974E-02 
8.000E+02 2.002E-02 2.002E-02 
1.000E+03 2.020E-02 2.020E-02 
1.500E+03 2.048E-02 2.048E-02 
2.000E+03 2.064E-02 2.064E-02 
3.000E+03 2.082E-02 2.082E-02 
4.000E+03 2.091E-02 2.091E-02 
5.000E+03 2.097E-02 2.097E-02 
6.000E+03 2.102E-02 2.102E-02 
8.000E+03 2.108E-02 2.108E-02 
1.000E+04 2.111E-02 2.111E-02 
1.500E+04 2.117E-02 2.117E-02 
2.000E+04 2.120E-02 2.120E-02 
3.000E+04 2.123E-02 2.123E-02 
4.000E+04 2.124E-02 2.124E-02 
5.000E+04 2.125E-02 2.125E-02 
6.000E+04 2.126E-02 2.126E-02 
8.000E+04 2.127E-02 2.127E-02 
1.000E+05 2.127E-02 2.127E-02 
