Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 6.083E+01 6.045E+01 
1.500E-03 1.676E+01 1.641E+01 
2.000E-03 6.864E+00 6.539E+00 
3.000E-03 2.007E+00 1.744E+00 
4.000E-03 9.329E-01 7.265E-01 
5.000E-03 5.767E-01 4.151E-01 
6.000E-03 4.195E-01 2.915E-01 
8.000E-03 2.933E-01 2.091E-01 
1.000E-02 2.476E-01 1.885E-01 
1.500E-02 2.092E-01 1.796E-01 
2.000E-02 1.960E-01 1.785E-01 
3.000E-02 1.838E-01 1.757E-01 
4.000E-02 1.763E-01 1.716E-01 
5.000E-02 1.703E-01 1.673E-01 
6.000E-02 1.651E-01 1.630E-01 
8.000E-02 1.562E-01 1.550E-01 
1.000E-01 1.486E-01 1.478E-01 
1.500E-01 1.336E-01 1.333E-01 
2.000E-01 1.224E-01 1.222E-01 
3.000E-01 1.064E-01 1.063E-01 
4.000E-01 9.535E-02 9.530E-02 
4.971E-01 8.728E-02 8.725E-02 
5.000E-01 8.707E-02 8.704E-02 
5.630E-01 8.280E-02 8.277E-02 
5.690E-01 8.242E-02 8.240E-02 
6.000E-01 8.055E-02 8.052E-02 
6.006E-01 8.051E-02 8.049E-02 
6.040E-01 8.031E-02 8.029E-02 
6.103E-01 7.995E-02 7.993E-02 
6.210E-01 7.934E-02 7.932E-02 
6.350E-01 7.856E-02 7.855E-02 
6.620E-01 7.713E-02 7.711E-02 
7.230E-01 7.412E-02 7.411E-02 
7.240E-01 7.408E-02 7.406E-02 
7.560E-01 7.263E-02 7.261E-02 
7.570E-01 7.258E-02 7.257E-02 
7.650E-01 7.223E-02 7.222E-02 
7.950E-01 7.096E-02 7.095E-02 
8.000E-01 7.076E-02 7.074E-02 
8.010E-01 7.072E-02 7.070E-02 
8.730E-01 6.792E-02 6.791E-02 
9.960E-01 6.375E-02 6.374E-02 
1.000E+00 6.362E-02 6.361E-02 
1.004E+00 6.350E-02 6.349E-02 
1.022E+00 6.294E-02 6.294E-02 
1.038E+00 6.246E-02 6.246E-02 
1.050E+00 6.211E-02 6.210E-02 
1.167E+00 5.891E-02 5.890E-02 
1.205E+00 5.796E-02 5.795E-02 
1.246E+00 5.698E-02 5.697E-02 
1.250E+00 5.688E-02 5.688E-02 
1.274E+00 5.633E-02 5.632E-02 
1.365E+00 5.435E-02 5.435E-02 
1.494E+00 5.184E-02 5.183E-02 
1.500E+00 5.173E-02 5.172E-02 
1.562E+00 5.062E-02 5.062E-02 
1.596E+00 5.004E-02 5.004E-02 
1.766E+00 4.737E-02 4.736E-02 
1.797E+00 4.692E-02 4.691E-02 
1.988E+00 4.437E-02 4.437E-02 
2.000E+00 4.422E-02 4.422E-02 
2.044E+00 4.369E-02 4.369E-02 
2.112E+00 4.289E-02 4.289E-02 
2.185E+00 4.208E-02 4.208E-02 
3.000E+00 3.503E-02 3.503E-02 
4.000E+00 2.949E-02 2.949E-02 
5.000E+00 2.577E-02 2.577E-02 
6.000E+00 2.307E-02 2.307E-02 
7.000E+00 2.102E-02 2.102E-02 
8.000E+00 1.940E-02 1.940E-02 
9.000E+00 1.810E-02 1.810E-02 
1.000E+01 1.703E-02 1.703E-02 
1.100E+01 1.613E-02 1.613E-02 
1.200E+01 1.537E-02 1.537E-02 
1.300E+01 1.471E-02 1.471E-02 
1.400E+01 1.413E-02 1.413E-02 
1.500E+01 1.363E-02 1.363E-02 
1.600E+01 1.319E-02 1.319E-02 
1.800E+01 1.244E-02 1.244E-02 
2.000E+01 1.183E-02 1.183E-02 
2.200E+01 1.134E-02 1.134E-02 
2.400E+01 1.092E-02 1.092E-02 
2.600E+01 1.057E-02 1.057E-02 
2.800E+01 1.027E-02 1.027E-02 
3.000E+01 1.001E-02 1.001E-02 
4.000E+01 9.114E-03 9.114E-03 
5.000E+01 8.608E-03 8.608E-03 
6.000E+01 8.296E-03 8.296E-03 
8.000E+01 7.950E-03 7.950E-03 
1.000E+02 7.785E-03 7.785E-03 
1.500E+02 7.648E-03 7.648E-03 
2.000E+02 7.634E-03 7.634E-03 
3.000E+02 7.684E-03 7.684E-03 
4.000E+02 7.742E-03 7.742E-03 
5.000E+02 7.795E-03 7.795E-03 
6.000E+02 7.837E-03 7.837E-03 
8.000E+02 7.902E-03 7.902E-03 
1.000E+03 7.946E-03 7.946E-03 
1.500E+03 8.021E-03 8.021E-03 
2.000E+03 8.065E-03 8.065E-03 
3.000E+03 8.115E-03 8.115E-03 
4.000E+03 8.150E-03 8.150E-03 
5.000E+03 8.169E-03 8.169E-03 
6.000E+03 8.183E-03 8.183E-03 
8.000E+03 8.203E-03 8.203E-03 
1.000E+04 8.216E-03 8.216E-03 
1.500E+04 8.231E-03 8.231E-03 
2.000E+04 8.242E-03 8.242E-03 
3.000E+04 8.251E-03 8.251E-03 
4.000E+04 8.257E-03 8.257E-03 
5.000E+04 8.263E-03 8.263E-03 
6.000E+04 8.264E-03 8.264E-03 
8.000E+04 8.267E-03 8.267E-03 
1.000E+05 8.268E-03 8.268E-03 
