Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 5.209E+03 5.197E+03 
1.500E-03 2.356E+03 2.344E+03 
2.000E-03 1.285E+03 1.274E+03 
2.484E-03 8.009E+02 7.900E+02 
2.484E-03 1.396E+03 1.385E+03 
2.534E-03 1.647E+03 1.636E+03 
2.586E-03 1.944E+03 1.933E+03 
2.586E-03 2.450E+03 2.439E+03 
3.000E-03 1.965E+03 1.955E+03 
3.066E-03 1.857E+03 1.847E+03 
3.066E-03 2.146E+03 2.136E+03 
3.301E-03 1.792E+03 1.782E+03 
3.554E-03 1.496E+03 1.486E+03 
3.554E-03 1.585E+03 1.575E+03 
3.699E-03 1.441E+03 1.432E+03 
3.851E-03 1.311E+03 1.302E+03 
3.851E-03 1.368E+03 1.358E+03 
4.000E-03 1.251E+03 1.242E+03 
5.000E-03 7.305E+02 7.223E+02 
6.000E-03 4.672E+02 4.598E+02 
8.000E-03 2.287E+02 2.227E+02 
1.000E-02 1.306E+02 1.257E+02 
1.304E-02 6.700E+01 6.315E+01 
1.304E-02 1.621E+02 1.583E+02 
1.500E-02 1.116E+02 1.083E+02 
1.520E-02 1.078E+02 1.045E+02 
1.520E-02 1.485E+02 1.453E+02 
1.553E-02 1.412E+02 1.381E+02 
1.586E-02 1.344E+02 1.313E+02 
1.586E-02 1.548E+02 1.517E+02 
2.000E-02 8.637E+01 8.404E+01 
3.000E-02 3.032E+01 2.894E+01 
4.000E-02 1.436E+01 1.344E+01 
5.000E-02 8.042E+00 7.387E+00 
6.000E-02 5.020E+00 4.530E+00 
8.000E-02 2.419E+00 2.112E+00 
8.800E-02 1.910E+00 1.647E+00 
8.800E-02 7.684E+00 7.421E+00 
1.000E-01 5.549E+00 5.336E+00 
1.500E-01 2.015E+00 1.910E+00 
2.000E-01 9.986E-01 9.360E-01 
3.000E-01 4.032E-01 3.733E-01 
4.000E-01 2.323E-01 2.148E-01 
4.971E-01 1.628E-01 1.512E-01 
5.000E-01 1.613E-01 1.499E-01 
5.630E-01 1.359E-01 1.268E-01 
5.690E-01 1.340E-01 1.250E-01 
6.000E-01 1.248E-01 1.167E-01 
6.006E-01 1.246E-01 1.165E-01 
6.040E-01 1.237E-01 1.157E-01 
6.103E-01 1.220E-01 1.142E-01 
6.210E-01 1.193E-01 1.118E-01 
6.350E-01 1.160E-01 1.087E-01 
6.620E-01 1.101E-01 1.035E-01 
7.230E-01 9.922E-02 9.360E-02 
7.240E-01 9.907E-02 9.346E-02 
7.560E-01 9.435E-02 8.919E-02 
7.570E-01 9.421E-02 8.907E-02 
7.650E-01 9.312E-02 8.808E-02 
7.950E-01 8.930E-02 8.462E-02 
8.000E-01 8.870E-02 8.408E-02 
8.010E-01 8.858E-02 8.397E-02 
8.730E-01 8.098E-02 7.708E-02 
9.960E-01 7.128E-02 6.827E-02 
1.000E+00 7.102E-02 6.803E-02 
