Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 8.844E+03 8.840E+03 
1.008E-03 8.672E+03 8.667E+03 
1.008E-03 8.779E+03 8.774E+03 
1.500E-03 3.340E+03 3.335E+03 
2.000E-03 1.598E+03 1.594E+03 
3.000E-03 5.475E+02 5.442E+02 
4.000E-03 2.520E+02 2.492E+02 
5.000E-03 1.373E+02 1.349E+02 
5.989E-03 8.369E+01 8.164E+01 
5.989E-03 1.647E+02 1.627E+02 
6.000E-03 1.644E+02 1.624E+02 
7.112E-03 1.125E+02 1.107E+02 
7.112E-03 3.748E+02 3.731E+02 
8.000E-03 2.753E+02 2.738E+02 
8.333E-03 2.474E+02 2.460E+02 
8.333E-03 2.702E+02 2.688E+02 
1.000E-02 1.680E+02 1.668E+02 
1.500E-02 5.614E+01 5.540E+01 
2.000E-02 2.525E+01 2.474E+01 
3.000E-02 8.036E+00 7.754E+00 
4.000E-02 3.568E+00 3.390E+00 
5.000E-02 1.926E+00 1.802E+00 
6.000E-02 1.186E+00 1.095E+00 
8.000E-02 5.872E-01 5.317E-01 
1.000E-01 3.676E-01 3.303E-01 
1.500E-01 1.952E-01 1.776E-01 
2.000E-01 1.455E-01 1.353E-01 
3.000E-01 1.097E-01 1.051E-01 
4.000E-01 9.396E-02 9.129E-02 
4.971E-01 8.437E-02 8.263E-02 
5.000E-01 8.413E-02 8.242E-02 
5.630E-01 7.944E-02 7.808E-02 
5.690E-01 7.903E-02 7.771E-02 
6.000E-01 7.704E-02 7.584E-02 
6.006E-01 7.700E-02 7.581E-02 
6.040E-01 7.679E-02 7.561E-02 
6.103E-01 7.641E-02 7.525E-02 
6.210E-01 7.577E-02 7.465E-02 
6.350E-01 7.496E-02 7.389E-02 
6.620E-01 7.347E-02 7.248E-02 
7.230E-01 7.039E-02 6.957E-02 
7.240E-01 7.035E-02 6.952E-02 
7.560E-01 6.888E-02 6.812E-02 
7.570E-01 6.884E-02 6.808E-02 
7.650E-01 6.848E-02 6.775E-02 
7.950E-01 6.721E-02 6.653E-02 
8.000E-01 6.700E-02 6.633E-02 
8.010E-01 6.696E-02 6.629E-02 
8.730E-01 6.419E-02 6.362E-02 
9.960E-01 6.008E-02 5.965E-02 
1.000E+00 5.996E-02 5.953E-02 
1.004E+00 5.984E-02 5.941E-02 
1.022E+00 5.930E-02 5.888E-02 
1.038E+00 5.883E-02 5.843E-02 
1.050E+00 5.849E-02 5.809E-02 
1.167E+00 5.542E-02 5.510E-02 
1.205E+00 5.452E-02 5.422E-02 
1.246E+00 5.360E-02 5.332E-02 
1.250E+00 5.352E-02 5.324E-02 
1.274E+00 5.300E-02 5.274E-02 
1.365E+00 5.119E-02 5.096E-02 
1.494E+00 4.894E-02 4.875E-02 
1.500E+00 4.884E-02 4.865E-02 
1.562E+00 4.788E-02 4.771E-02 
1.596E+00 4.739E-02 4.722E-02 
1.766E+00 4.515E-02 4.501E-02 
1.797E+00 4.479E-02 4.465E-02 
1.988E+00 4.277E-02 4.266E-02 
2.000E+00 4.265E-02 4.254E-02 
2.044E+00 4.224E-02 4.214E-02 
2.112E+00 4.164E-02 4.154E-02 
2.185E+00 4.103E-02 4.094E-02 
3.000E+00 3.620E-02 3.615E-02 
4.000E+00 3.308E-02 3.306E-02 
5.000E+00 3.142E-02 3.140E-02 
6.000E+00 3.051E-02 3.050E-02 
7.000E+00 3.004E-02 3.003E-02 
8.000E+00 2.983E-02 2.982E-02 
9.000E+00 2.978E-02 2.978E-02 
1.000E+01 2.984E-02 2.984E-02 
1.100E+01 2.996E-02 2.996E-02 
1.200E+01 3.013E-02 3.013E-02 
1.300E+01 3.033E-02 3.032E-02 
1.400E+01 3.056E-02 3.056E-02 
1.500E+01 3.079E-02 3.079E-02 
1.600E+01 3.105E-02 3.105E-02 
1.800E+01 3.156E-02 3.156E-02 
2.000E+01 3.208E-02 3.208E-02 
2.200E+01 3.261E-02 3.260E-02 
2.400E+01 3.311E-02 3.310E-02 
2.600E+01 3.359E-02 3.359E-02 
2.800E+01 3.405E-02 3.405E-02 
3.000E+01 3.450E-02 3.450E-02 
4.000E+01 3.646E-02 3.645E-02 
5.000E+01 3.806E-02 3.806E-02 
6.000E+01 3.939E-02 3.939E-02 
8.000E+01 4.148E-02 4.148E-02 
1.000E+02 4.303E-02 4.303E-02 
1.500E+02 4.564E-02 4.564E-02 
2.000E+02 4.727E-02 4.727E-02 
3.000E+02 4.922E-02 4.922E-02 
4.000E+02 5.038E-02 5.038E-02 
5.000E+02 5.115E-02 5.115E-02 
6.000E+02 5.170E-02 5.170E-02 
8.000E+02 5.245E-02 5.245E-02 
1.000E+03 5.294E-02 5.294E-02 
1.500E+03 5.366E-02 5.366E-02 
2.000E+03 5.405E-02 5.405E-02 
3.000E+03 5.448E-02 5.448E-02 
4.000E+03 5.471E-02 5.471E-02 
5.000E+03 5.487E-02 5.487E-02 
6.000E+03 5.496E-02 5.496E-02 
8.000E+03 5.510E-02 5.510E-02 
1.000E+04 5.518E-02 5.518E-02 
1.500E+04 5.531E-02 5.531E-02 
2.000E+04 5.537E-02 5.537E-02 
3.000E+04 5.544E-02 5.544E-02 
4.000E+04 5.547E-02 5.547E-02 
5.000E+04 5.550E-02 5.550E-02 
6.000E+04 5.551E-02 5.551E-02 
8.000E+04 5.553E-02 5.553E-02 
1.000E+05 5.554E-02 5.554E-02 
