Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 6.386E+03 6.373E+03 
1.022E-03 6.131E+03 6.119E+03 
1.045E-03 5.886E+03 5.874E+03 
1.045E-03 6.232E+03 6.220E+03 
1.153E-03 5.161E+03 5.149E+03 
1.273E-03 4.277E+03 4.265E+03 
1.273E-03 4.332E+03 4.321E+03 
1.354E-03 3.824E+03 3.812E+03 
1.441E-03 3.377E+03 3.365E+03 
1.441E-03 3.439E+03 3.427E+03 
1.500E-03 3.163E+03 3.152E+03 
2.000E-03 1.726E+03 1.715E+03 
3.000E-03 7.038E+02 6.940E+02 
3.552E-03 4.791E+02 4.699E+02 
3.552E-03 1.131E+03 1.122E+03 
3.639E-03 1.060E+03 1.051E+03 
3.728E-03 9.938E+02 9.848E+02 
3.728E-03 1.408E+03 1.399E+03 
4.000E-03 1.182E+03 1.174E+03 
4.303E-03 9.877E+02 9.792E+02 
4.303E-03 1.147E+03 1.139E+03 
5.000E-03 7.894E+02 7.815E+02 
5.182E-03 7.206E+02 7.129E+02 
5.182E-03 7.641E+02 7.564E+02 
5.362E-03 7.026E+02 6.951E+02 
5.548E-03 6.460E+02 6.386E+02 
5.548E-03 6.732E+02 6.658E+02 
6.000E-03 5.572E+02 5.501E+02 
8.000E-03 2.753E+02 2.694E+02 
1.000E-02 1.586E+02 1.537E+02 
1.500E-02 5.775E+01 5.444E+01 
1.717E-02 4.125E+01 3.839E+01 
1.717E-02 9.444E+01 9.158E+01 
2.000E-02 6.275E+01 6.036E+01 
2.095E-02 5.563E+01 5.338E+01 
2.095E-02 7.799E+01 7.574E+01 
2.135E-02 7.432E+01 7.212E+01 
2.176E-02 7.082E+01 6.867E+01 
2.176E-02 8.136E+01 7.922E+01 
3.000E-02 3.644E+01 3.503E+01 
4.000E-02 1.751E+01 1.657E+01 
5.000E-02 9.908E+00 9.228E+00 
6.000E-02 6.223E+00 5.712E+00 
8.000E-02 3.013E+00 2.692E+00 
1.000E-01 1.741E+00 1.519E+00 
1.156E-01 1.232E+00 1.057E+00 
1.156E-01 4.331E+00 4.157E+00 
1.500E-01 2.300E+00 2.189E+00 
2.000E-01 1.159E+00 1.092E+00 
3.000E-01 4.704E-01 4.384E-01 
4.000E-01 2.689E-01 2.501E-01 
