Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.000E-03 4.210E+03 4.203E+03 
1.500E-03 1.631E+03 1.625E+03 
2.000E-03 8.118E+02 8.061E+02 
2.222E-03 6.258E+02 6.203E+02 
2.222E-03 2.391E+03 2.386E+03 
2.264E-03 2.251E+03 2.246E+03 
2.307E-03 2.120E+03 2.114E+03 
2.307E-03 2.953E+03 2.948E+03 
2.417E-03 2.639E+03 2.633E+03 
2.532E-03 2.359E+03 2.353E+03 
2.532E-03 2.691E+03 2.686E+03 
3.000E-03 1.772E+03 1.767E+03 
4.000E-03 8.506E+02 8.463E+02 
5.000E-03 4.756E+02 4.719E+02 
6.000E-03 2.935E+02 2.902E+02 
8.000E-03 1.357E+02 1.330E+02 
1.000E-02 7.417E+01 7.202E+01 
1.500E-02 2.462E+01 2.327E+01 
1.800E-02 1.501E+01 1.395E+01 
1.800E-02 9.470E+01 9.364E+01 
2.000E-02 7.238E+01 7.146E+01 
3.000E-02 2.485E+01 2.433E+01 
4.000E-02 1.139E+01 1.105E+01 
5.000E-02 6.174E+00 5.938E+00 
6.000E-02 3.744E+00 3.570E+00 
8.000E-02 1.721E+00 1.615E+00 
1.000E-01 9.657E-01 8.940E-01 
1.500E-01 3.790E-01 3.445E-01 
2.000E-01 2.237E-01 2.035E-01 
3.000E-01 1.318E-01 1.224E-01 
4.000E-01 1.018E-01 9.649E-02 
4.971E-01 8.727E-02 8.376E-02 
5.000E-01 8.693E-02 8.347E-02 
5.630E-01 8.062E-02 7.788E-02 
5.690E-01 8.010E-02 7.741E-02 
6.000E-01 7.756E-02 7.514E-02 
6.006E-01 7.751E-02 7.509E-02 
6.040E-01 7.725E-02 7.486E-02 
6.103E-01 7.677E-02 7.443E-02 
6.210E-01 7.598E-02 7.371E-02 
6.350E-01 7.498E-02 7.281E-02 
6.620E-01 7.317E-02 7.118E-02 
7.230E-01 6.955E-02 6.788E-02 
7.240E-01 6.950E-02 6.783E-02 
7.560E-01 6.782E-02 6.629E-02 
7.570E-01 6.777E-02 6.624E-02 
7.650E-01 6.737E-02 6.587E-02 
7.950E-01 6.594E-02 6.455E-02 
8.000E-01 6.571E-02 6.434E-02 
8.010E-01 6.566E-02 6.430E-02 
8.730E-01 6.262E-02 6.146E-02 
9.960E-01 5.823E-02 5.734E-02 
1.000E+00 5.810E-02 5.722E-02 
1.004E+00 5.797E-02 5.710E-02 
1.022E+00 5.740E-02 5.656E-02 
1.038E+00 5.691E-02 5.610E-02 
1.050E+00 5.655E-02 5.575E-02 
1.167E+00 5.340E-02 5.275E-02 
1.205E+00 5.250E-02 5.189E-02 
1.246E+00 5.158E-02 5.101E-02 
1.250E+00 5.150E-02 5.093E-02 
1.274E+00 5.099E-02 5.045E-02 
1.365E+00 4.923E-02 4.875E-02 
1.494E+00 4.709E-02 4.669E-02 
1.500E+00 4.700E-02 4.661E-02 
1.562E+00 4.611E-02 4.574E-02 
1.596E+00 4.565E-02 4.530E-02 
1.766E+00 4.363E-02 4.335E-02 
1.797E+00 4.331E-02 4.304E-02 
1.988E+00 4.156E-02 4.134E-02 
2.000E+00 4.146E-02 4.124E-02 
2.044E+00 4.112E-02 4.090E-02 
2.112E+00 4.061E-02 4.041E-02 
2.185E+00 4.011E-02 3.992E-02 
3.000E+00 3.644E-02 3.634E-02 
4.000E+00 3.451E-02 3.446E-02 
5.000E+00 3.384E-02 3.380E-02 
6.000E+00 3.374E-02 3.372E-02 
7.000E+00 3.399E-02 3.397E-02 
8.000E+00 3.441E-02 3.440E-02 
9.000E+00 3.495E-02 3.494E-02 
1.000E+01 3.554E-02 3.553E-02 
1.100E+01 3.615E-02 3.614E-02 
1.200E+01 3.678E-02 3.677E-02 
1.300E+01 3.738E-02 3.738E-02 
1.400E+01 3.797E-02 3.797E-02 
1.500E+01 3.855E-02 3.854E-02 
1.600E+01 3.911E-02 3.911E-02 
1.800E+01 4.019E-02 4.019E-02 
2.000E+01 4.122E-02 4.121E-02 
2.200E+01 4.220E-02 4.220E-02 
2.400E+01 4.312E-02 4.312E-02 
2.600E+01 4.399E-02 4.399E-02 
2.800E+01 4.479E-02 4.479E-02 
3.000E+01 4.555E-02 4.555E-02 
4.000E+01 4.878E-02 4.878E-02 
5.000E+01 5.130E-02 5.130E-02 
6.000E+01 5.332E-02 5.332E-02 
8.000E+01 5.640E-02 5.640E-02 
1.000E+02 5.866E-02 5.866E-02 
1.500E+02 6.232E-02 6.232E-02 
2.000E+02 6.456E-02 6.456E-02 
3.000E+02 6.720E-02 6.720E-02 
4.000E+02 6.875E-02 6.875E-02 
5.000E+02 6.980E-02 6.980E-02 
6.000E+02 7.055E-02 7.055E-02 
8.000E+02 7.148E-02 7.148E-02 
1.000E+03 7.218E-02 7.218E-02 
1.500E+03 7.306E-02 7.306E-02 
2.000E+03 7.363E-02 7.363E-02 
3.000E+03 7.414E-02 7.414E-02 
4.000E+03 7.446E-02 7.446E-02 
5.000E+03 7.466E-02 7.466E-02 
6.000E+03 7.479E-02 7.479E-02 
8.000E+03 7.498E-02 7.498E-02 
1.000E+04 7.505E-02 7.505E-02 
1.500E+04 7.524E-02 7.524E-02 
2.000E+04 7.531E-02 7.531E-02 
3.000E+04 7.537E-02 7.537E-02 
4.000E+04 7.544E-02 7.544E-02 
5.000E+04 7.550E-02 7.550E-02 
6.000E+04 7.550E-02 7.550E-02 
8.000E+04 7.550E-02 7.550E-02 
1.000E+05 7.550E-02 7.550E-02 
