Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 1.510E-01 1.464E-01 
1.454E-01 1.368E-01 1.344E-01 
2.360E-01 1.165E-01 1.156E-01 
4.971E-01 8.743E-02 8.721E-02 
5.630E-01 8.291E-02 8.274E-02 
5.690E-01 8.253E-02 8.236E-02 
6.006E-01 8.061E-02 8.047E-02 
6.040E-01 8.041E-02 8.027E-02 
6.103E-01 8.005E-02 7.991E-02 
6.210E-01 7.944E-02 7.930E-02 
6.350E-01 7.866E-02 7.853E-02 
6.620E-01 7.722E-02 7.710E-02 
7.230E-01 7.422E-02 7.412E-02 
7.240E-01 7.417E-02 7.407E-02 
7.560E-01 7.271E-02 7.262E-02 
7.570E-01 7.267E-02 7.258E-02 
7.650E-01 7.232E-02 7.223E-02 
7.950E-01 7.103E-02 7.095E-02 
8.010E-01 7.078E-02 7.070E-02 
8.730E-01 6.794E-02 6.787E-02 
9.960E-01 6.378E-02 6.373E-02 
1.004E+00 6.354E-02 6.348E-02 
1.038E+00 6.254E-02 6.249E-02 
1.050E+00 6.219E-02 6.214E-02 
1.167E+00 5.899E-02 5.895E-02 
1.205E+00 5.803E-02 5.799E-02 
1.246E+00 5.704E-02 5.700E-02 
1.274E+00 5.638E-02 5.635E-02 
1.365E+00 5.440E-02 5.438E-02 
1.494E+00 5.192E-02 5.189E-02 
1.562E+00 5.073E-02 5.071E-02 
1.596E+00 5.017E-02 5.015E-02 
1.766E+00 4.759E-02 4.758E-02 
1.797E+00 4.716E-02 4.714E-02 
1.988E+00 4.467E-02 4.465E-02 
2.112E+00 4.321E-02 4.319E-02 
2.185E+00 4.241E-02 4.240E-02 
