Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 1.650E-01 1.530E-01 
1.454E-01 1.398E-01 1.333E-01 
2.360E-01 1.146E-01 1.120E-01 
4.971E-01 8.466E-02 8.408E-02 
5.630E-01 8.023E-02 7.978E-02 
5.690E-01 7.986E-02 7.942E-02 
6.006E-01 7.799E-02 7.759E-02 
6.040E-01 7.779E-02 7.740E-02 
6.103E-01 7.743E-02 7.705E-02 
6.210E-01 7.684E-02 7.646E-02 
6.350E-01 7.607E-02 7.572E-02 
6.620E-01 7.466E-02 7.433E-02 
7.230E-01 7.171E-02 7.144E-02 
7.240E-01 7.166E-02 7.139E-02 
7.560E-01 7.024E-02 6.999E-02 
7.570E-01 7.020E-02 6.995E-02 
7.650E-01 6.986E-02 6.961E-02 
7.950E-01 6.861E-02 6.838E-02 
8.010E-01 6.837E-02 6.814E-02 
8.730E-01 6.564E-02 6.545E-02 
9.960E-01 6.158E-02 6.144E-02 
1.004E+00 6.134E-02 6.120E-02 
1.038E+00 6.034E-02 6.021E-02 
1.050E+00 6.000E-02 5.987E-02 
1.167E+00 5.690E-02 5.680E-02 
1.205E+00 5.599E-02 5.589E-02 
1.246E+00 5.505E-02 5.495E-02 
1.274E+00 5.443E-02 5.434E-02 
1.365E+00 5.255E-02 5.247E-02 
1.494E+00 5.017E-02 5.010E-02 
1.562E+00 4.903E-02 4.897E-02 
1.596E+00 4.849E-02 4.843E-02 
1.766E+00 4.603E-02 4.599E-02 
1.797E+00 4.563E-02 4.558E-02 
1.988E+00 4.337E-02 4.333E-02 
2.112E+00 4.209E-02 4.205E-02 
2.185E+00 4.138E-02 4.135E-02 

