Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 4.116E-01 3.711E-01 
1.454E-01 2.321E-01 2.097E-01 
2.360E-01 1.338E-01 1.249E-01 
4.971E-01 8.388E-02 8.178E-02 
5.630E-01 7.873E-02 7.710E-02 
5.690E-01 7.831E-02 7.671E-02 
6.006E-01 7.621E-02 7.477E-02 
6.040E-01 7.600E-02 7.458E-02 
6.103E-01 7.560E-02 7.421E-02 
6.210E-01 7.495E-02 7.360E-02 
6.350E-01 7.412E-02 7.283E-02 
6.620E-01 7.259E-02 7.140E-02 
7.230E-01 6.947E-02 6.847E-02 
7.240E-01 6.942E-02 6.843E-02 
7.560E-01 6.794E-02 6.703E-02 
7.570E-01 6.790E-02 6.699E-02 
7.650E-01 6.754E-02 6.665E-02 
7.950E-01 6.626E-02 6.544E-02 
8.010E-01 6.601E-02 6.520E-02 
8.730E-01 6.324E-02 6.255E-02 
9.960E-01 5.913E-02 5.860E-02 
1.004E+00 5.888E-02 5.837E-02 
1.038E+00 5.787E-02 5.739E-02 
1.050E+00 5.753E-02 5.706E-02 
1.167E+00 5.448E-02 5.410E-02 
1.205E+00 5.360E-02 5.324E-02 
1.246E+00 5.270E-02 5.236E-02 
1.274E+00 5.211E-02 5.179E-02 
1.365E+00 5.033E-02 5.005E-02 
1.494E+00 4.812E-02 4.789E-02 
1.562E+00 4.709E-02 4.688E-02 
1.596E+00 4.661E-02 4.640E-02 
1.766E+00 4.444E-02 4.427E-02 
1.797E+00 4.409E-02 4.393E-02 
1.988E+00 4.216E-02 4.202E-02 
2.112E+00 4.108E-02 4.096E-02 
2.185E+00 4.051E-02 4.040E-02 

