Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 1.680E-01 1.632E-01 
1.454E-01 1.520E-01 1.494E-01 
2.360E-01 1.294E-01 1.284E-01 
4.971E-01 9.711E-02 9.688E-02 
5.630E-01 9.208E-02 9.190E-02 
5.690E-01 9.166E-02 9.149E-02 
6.006E-01 8.952E-02 8.937E-02 
6.040E-01 8.930E-02 8.915E-02 
6.103E-01 8.889E-02 8.874E-02 
6.210E-01 8.821E-02 8.807E-02 
6.350E-01 8.735E-02 8.721E-02 
6.620E-01 8.574E-02 8.562E-02 
7.230E-01 8.240E-02 8.230E-02 
7.240E-01 8.235E-02 8.224E-02 
7.560E-01 8.074E-02 8.064E-02 
7.570E-01 8.069E-02 8.059E-02 
7.650E-01 8.030E-02 8.020E-02 
7.950E-01 7.889E-02 7.880E-02 
8.010E-01 7.861E-02 7.852E-02 
8.730E-01 7.550E-02 7.542E-02 
9.960E-01 7.086E-02 7.080E-02 
1.004E+00 7.058E-02 7.053E-02 
1.038E+00 6.944E-02 6.938E-02 
1.050E+00 6.904E-02 6.899E-02 
1.167E+00 6.549E-02 6.544E-02 
1.205E+00 6.444E-02 6.440E-02 
1.246E+00 6.334E-02 6.330E-02 
1.274E+00 6.262E-02 6.259E-02 
1.365E+00 6.043E-02 6.040E-02 
1.494E+00 5.766E-02 5.764E-02 
1.562E+00 5.634E-02 5.632E-02 
1.596E+00 5.572E-02 5.570E-02 
1.766E+00 5.285E-02 5.283E-02 
1.797E+00 5.236E-02 5.234E-02 
1.988E+00 4.958E-02 4.957E-02 
2.112E+00 4.795E-02 4.794E-02 
2.185E+00 4.707E-02 4.706E-02 
