Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 1.468E-01 1.461E-01 
1.454E-01 1.348E-01 1.345E-01 
2.360E-01 1.159E-01 1.157E-01 
4.971E-01 8.728E-02 8.725E-02 
5.630E-01 8.280E-02 8.277E-02 
5.690E-01 8.242E-02 8.240E-02 
6.006E-01 8.051E-02 8.049E-02 
6.040E-01 8.031E-02 8.029E-02 
6.103E-01 7.995E-02 7.993E-02 
6.210E-01 7.934E-02 7.932E-02 
6.350E-01 7.856E-02 7.855E-02 
6.620E-01 7.713E-02 7.711E-02 
7.230E-01 7.412E-02 7.411E-02 
7.240E-01 7.408E-02 7.406E-02 
7.560E-01 7.263E-02 7.261E-02 
7.570E-01 7.258E-02 7.257E-02 
7.650E-01 7.223E-02 7.222E-02 
7.950E-01 7.096E-02 7.095E-02 
8.010E-01 7.072E-02 7.070E-02 
8.730E-01 6.792E-02 6.791E-02 
9.960E-01 6.375E-02 6.374E-02 
1.004E+00 6.350E-02 6.349E-02 
1.038E+00 6.246E-02 6.246E-02 
1.050E+00 6.211E-02 6.210E-02 
1.167E+00 5.891E-02 5.890E-02 
1.205E+00 5.796E-02 5.796E-02 
1.246E+00 5.698E-02 5.697E-02 
1.274E+00 5.633E-02 5.632E-02 
1.365E+00 5.435E-02 5.435E-02 
1.494E+00 5.184E-02 5.183E-02 
1.562E+00 5.062E-02 5.062E-02 
1.596E+00 5.004E-02 5.004E-02 
1.766E+00 4.737E-02 4.736E-02 
1.797E+00 4.692E-02 4.691E-02 
1.988E+00 4.437E-02 4.437E-02 
2.112E+00 4.289E-02 4.289E-02 
2.185E+00 4.208E-02 4.208E-02 
