Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 4.870E+00 4.675E+00 
1.454E-01 2.176E+00 2.065E+00 
2.360E-01 6.793E-01 6.329E-01 
4.971E-01 1.628E-01 1.512E-01 
5.630E-01 1.359E-01 1.268E-01 
5.690E-01 1.340E-01 1.250E-01 
6.006E-01 1.246E-01 1.165E-01 
6.040E-01 1.237E-01 1.157E-01 
6.103E-01 1.220E-01 1.142E-01 
6.210E-01 1.193E-01 1.118E-01 
6.350E-01 1.160E-01 1.087E-01 
6.620E-01 1.101E-01 1.035E-01 
7.230E-01 9.922E-02 9.360E-02 
7.240E-01 9.907E-02 9.346E-02 
7.560E-01 9.435E-02 8.919E-02 
7.570E-01 9.421E-02 8.907E-02 
7.650E-01 9.312E-02 8.808E-02 
7.950E-01 8.930E-02 8.462E-02 
8.010E-01 8.858E-02 8.397E-02 
8.730E-01 8.098E-02 7.708E-02 
9.960E-01 7.128E-02 6.827E-02 
1.004E+00 7.076E-02 6.779E-02 
1.038E+00 6.865E-02 6.587E-02 
1.050E+00 6.795E-02 6.523E-02 
1.167E+00 6.201E-02 5.981E-02 
1.205E+00 6.043E-02 5.836E-02 
1.246E+00 5.889E-02 5.695E-02 
1.274E+00 5.793E-02 5.607E-02 
1.365E+00 5.526E-02 5.363E-02 
1.494E+00 5.234E-02 5.098E-02 
1.562E+00 5.110E-02 4.985E-02 
1.596E+00 5.054E-02 4.934E-02 
1.766E+00 4.822E-02 4.725E-02 
1.797E+00 4.787E-02 4.693E-02 
1.988E+00 4.615E-02 4.538E-02 
2.112E+00 4.534E-02 4.466E-02 
2.185E+00 4.493E-02 4.429E-02 

