Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 3.337E-01 2.998E-01 
1.454E-01 2.028E-01 1.842E-01 
2.360E-01 1.280E-01 1.205E-01 
4.971E-01 8.437E-02 8.264E-02 
5.630E-01 7.944E-02 7.808E-02 
5.690E-01 7.903E-02 7.771E-02 
6.006E-01 7.700E-02 7.581E-02 
6.040E-01 7.679E-02 7.561E-02 
6.103E-01 7.641E-02 7.525E-02 
6.210E-01 7.577E-02 7.465E-02 
6.350E-01 7.496E-02 7.389E-02 
6.620E-01 7.347E-02 7.248E-02 
7.230E-01 7.039E-02 6.957E-02 
7.240E-01 7.035E-02 6.952E-02 
7.560E-01 6.888E-02 6.812E-02 
7.570E-01 6.884E-02 6.808E-02 
7.650E-01 6.848E-02 6.775E-02 
7.950E-01 6.721E-02 6.653E-02 
8.010E-01 6.696E-02 6.629E-02 
8.730E-01 6.419E-02 6.362E-02 
9.960E-01 6.008E-02 5.965E-02 
1.004E+00 5.984E-02 5.941E-02 
1.038E+00 5.883E-02 5.843E-02 
1.050E+00 5.849E-02 5.809E-02 
1.167E+00 5.542E-02 5.510E-02 
1.205E+00 5.453E-02 5.423E-02 
1.246E+00 5.360E-02 5.332E-02 
1.274E+00 5.300E-02 5.274E-02 
1.365E+00 5.119E-02 5.096E-02 
1.494E+00 4.894E-02 4.875E-02 
1.562E+00 4.788E-02 4.771E-02 
1.596E+00 4.739E-02 4.722E-02 
1.766E+00 4.515E-02 4.501E-02 
1.797E+00 4.479E-02 4.465E-02 
1.988E+00 4.277E-02 4.266E-02 
2.112E+00 4.164E-02 4.154E-02 
2.185E+00 4.103E-02 4.094E-02 

