Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 1.538E+00 1.333E+00 
1.454E-01 2.478E+00 2.361E+00 
2.360E-01 7.921E-01 7.426E-01 
4.971E-01 1.863E-01 1.737E-01 
5.630E-01 1.542E-01 1.443E-01 
5.690E-01 1.519E-01 1.422E-01 
6.006E-01 1.407E-01 1.320E-01 
6.040E-01 1.396E-01 1.310E-01 
6.103E-01 1.376E-01 1.291E-01 
6.210E-01 1.344E-01 1.262E-01 
6.350E-01 1.304E-01 1.226E-01 
6.620E-01 1.235E-01 1.162E-01 
7.230E-01 1.105E-01 1.043E-01 
7.240E-01 1.103E-01 1.042E-01 
7.560E-01 1.047E-01 9.903E-02 
7.570E-01 1.045E-01 9.888E-02 
7.650E-01 1.032E-01 9.770E-02 
7.950E-01 9.867E-02 9.356E-02 
8.010E-01 9.782E-02 9.278E-02 
8.730E-01 8.885E-02 8.459E-02 
9.960E-01 7.745E-02 7.415E-02 
1.004E+00 7.684E-02 7.359E-02 
1.038E+00 7.436E-02 7.131E-02 
1.050E+00 7.353E-02 7.056E-02 
1.167E+00 6.666E-02 6.423E-02 
1.205E+00 6.485E-02 6.257E-02 
1.246E+00 6.306E-02 6.093E-02 
1.274E+00 6.196E-02 5.991E-02 
1.365E+00 5.886E-02 5.708E-02 
1.494E+00 5.553E-02 5.403E-02 
1.562E+00 5.413E-02 5.276E-02 
1.596E+00 5.350E-02 5.219E-02 
1.766E+00 5.089E-02 4.981E-02 
1.797E+00 5.049E-02 4.945E-02 
1.988E+00 4.839E-02 4.754E-02 
2.112E+00 4.733E-02 4.657E-02 
2.185E+00 4.680E-02 4.609E-02 

