Photon    Tot. w/  Tot. wo/ 
Energy    Coherent Coherent 

1.053E-01 8.490E-01 7.836E-01 
1.454E-01 4.041E-01 3.675E-01 
2.360E-01 1.752E-01 1.604E-01 
4.971E-01 8.727E-02 8.376E-02 
5.630E-01 8.062E-02 7.788E-02 
5.690E-01 8.010E-02 7.741E-02 
6.006E-01 7.751E-02 7.509E-02 
6.040E-01 7.725E-02 7.486E-02 
6.103E-01 7.677E-02 7.443E-02 
6.210E-01 7.598E-02 7.371E-02 
6.350E-01 7.498E-02 7.281E-02 
6.620E-01 7.317E-02 7.118E-02 
7.230E-01 6.955E-02 6.788E-02 
7.240E-01 6.950E-02 6.783E-02 
7.560E-01 6.782E-02 6.629E-02 
7.570E-01 6.777E-02 6.624E-02 
7.650E-01 6.737E-02 6.587E-02 
7.950E-01 6.594E-02 6.455E-02 
8.010E-01 6.566E-02 6.430E-02 
8.730E-01 6.262E-02 6.146E-02 
9.960E-01 5.823E-02 5.734E-02 
1.004E+00 5.797E-02 5.710E-02 
1.038E+00 5.691E-02 5.610E-02 
1.050E+00 5.655E-02 5.575E-02 
1.167E+00 5.340E-02 5.275E-02 
1.205E+00 5.250E-02 5.189E-02 
1.246E+00 5.158E-02 5.101E-02 
1.274E+00 5.099E-02 5.045E-02 
1.365E+00 4.923E-02 4.875E-02 
1.494E+00 4.709E-02 4.669E-02 
1.562E+00 4.611E-02 4.574E-02 
1.596E+00 4.565E-02 4.530E-02 
1.766E+00 4.363E-02 4.335E-02 
1.797E+00 4.331E-02 4.304E-02 
1.988E+00 4.156E-02 4.134E-02 
2.112E+00 4.061E-02 4.041E-02 
2.185E+00 4.011E-02 3.992E-02 
